,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
30,2019-01-31,107.5,110.74,104.2,105.69,Sell,50.371713552042586,106.87666666666667,109.55333333333333,103.01333333333334,113.41666666666667,100.33666666666667,116.09333333333332,96.47333333333334,118.76999999999998,92.61000000000001,113.74666666666667,False,0.0,False,False,16.0,122.18,105.69,1.0,0,0,0.0,1.0,1.0,0.9831627906976744,1.1157183918401379,0.8492567296102853,False,0.0,0.0,0,2019-02-01
31,2019-02-01,105.74,107.78,102.87,105.84,Sell,48.53237398716299,105.49666666666667,108.12333333333333,103.21333333333334,110.40666666666667,100.58666666666667,113.03333333333333,98.30333333333334,115.66,96.02000000000001,113.41666666666667,False,0.0,False,False,16.0,122.18,105.84,1.0,0,0,0.0,1.0,1.0,1.0014192449616803,1.1157183918401379,0.8504620329449578,False,0.0,0.0,1,2019-02-02
32,2019-02-02,105.84,110.2,105.03,109.41,Sell,43.10362794042487,108.21333333333332,111.39666666666665,106.22666666666665,113.38333333333333,103.04333333333332,116.56666666666665,101.05666666666664,119.74999999999997,99.06999999999996,110.40666666666667,False,0.0,False,False,16.0,122.18,109.41,1.0,0,0,0.0,1.0,1.0,1.0337301587301586,1.1157183918401379,0.8791482523101646,False,0.25,250.0,1,2019-02-03
33,2019-02-03,109.41,110.33,104.41,106.0,Sell,39.26667064200493,106.91333333333334,109.41666666666669,103.49666666666668,112.83333333333334,100.99333333333334,115.33666666666669,97.57666666666668,117.84000000000003,94.16000000000003,113.38333333333333,False,0.0,False,False,16.0,122.18,106.0,1.0,0,0,0.0,1.0,1.0,0.9688328306370533,1.1157183918401379,0.851747689835275,False,0.25,250.0,0,2019-02-04
34,2019-02-04,106.0,108.12,105.35,106.03,Sell,36.069206226654984,106.5,107.65,104.88,109.27000000000001,103.72999999999999,110.42000000000002,102.10999999999999,111.57000000000002,100.48999999999998,112.83333333333334,False,0.0,False,False,16.0,122.18,106.03,1.0,0,0,0.0,1.0,1.0,1.0002830188679246,1.1157183918401379,0.8519887505022096,False,0.25,250.0,1,2019-02-05
35,2019-02-05,106.03,106.5,104.82,106.14,Sell,34.16305656163562,105.82,106.82,105.13999999999999,107.5,104.13999999999999,108.5,103.45999999999998,109.5,102.77999999999997,109.27000000000001,False,0.0,False,False,16.0,122.18,106.14,1.0,0,0,0.0,1.0,1.0,1.0010374422333301,1.1157183918401379,0.8528726396143027,False,0.25,250.0,1,2019-02-06
36,2019-02-06,106.14,106.71,100.03,103.26,Sell,37.370090482188566,103.33333333333333,106.63666666666666,99.95666666666666,110.01333333333332,96.65333333333334,113.31666666666665,93.27666666666667,116.61999999999998,89.9,107.5,False,0.0,False,False,16.0,122.18,103.26,1.0,0,0,0.0,1.0,1.0,0.9728660260033918,1.1157183918401379,0.8297308155885896,False,0.25,250.0,0,2019-02-07
37,2019-02-07,103.26,104.75,102.68,103.32,Sell,40.04261874931603,103.58333333333333,104.48666666666665,102.41666666666666,105.65333333333331,101.51333333333334,106.55666666666664,100.34666666666666,107.45999999999997,99.17999999999999,110.01333333333332,False,0.0,False,False,16.0,122.18,103.32,1.0,0,0,0.0,1.0,1.0,1.0005810575246947,1.1157183918401379,0.8302129369224585,False,0.25,250.0,1,2019-02-08
38,2019-02-08,103.32,122.36,102.37,118.07,Sell,41.572494711434004,114.26666666666667,126.16333333333333,106.17333333333333,134.25666666666666,94.27666666666667,146.1533333333333,86.18333333333334,158.04999999999998,78.09,105.65333333333331,False,0.0,False,False,16.0,122.18,118.07,1.0,0,0,0.0,1.0,1.0,1.1427603561749904,1.1157183918401379,0.9487344314985935,False,0.25,250.0,1,2019-02-09
39,2019-02-09,118.07,119.95,116.6,117.98,Sell,42.84739134653231,118.17666666666668,119.75333333333336,116.40333333333335,121.52666666666667,114.82666666666667,123.10333333333337,113.05333333333334,124.68000000000005,111.28000000000002,134.25666666666666,False,0.0,False,False,16.0,122.18,117.98,1.0,0,0,0.0,1.0,1.0,0.999237740323537,1.1157183918401379,0.94801124949779,False,0.25,250.0,0,2019-02-10
40,2019-02-10,117.98,125.1,114.21,123.98,Sell,45.770012545547054,121.09666666666668,127.98333333333336,117.09333333333336,131.98666666666668,110.20666666666668,138.87333333333336,106.20333333333336,145.76000000000005,102.20000000000005,121.52666666666667,False,0.0,False,False,16.0,122.18,123.98,1.0,0,0,0.0,1.0,1.0,1.0508560773012374,1.1157183918401379,0.9962233828846924,False,0.5,500.0,1,2019-02-11
41,2019-02-11,124.0,124.22,118.09,119.52,Sell,48.20553021139268,120.61,123.13,117.0,126.73999999999998,114.48,129.26,110.87,131.77999999999997,107.26,131.98666666666668,False,0.0,False,False,16.0,122.18,119.52,1.0,0,0,0.0,1.0,1.0,0.9640264558799806,1.1157183918401379,0.9603856970670949,False,0.25,250.0,0,2019-02-12
42,2019-02-12,119.56,122.73,117.0,121.08,Buy,48.55684884570178,120.27,123.53999999999999,117.80999999999999,126.0,114.53999999999999,129.26999999999998,112.07999999999998,132.54,109.61999999999998,131.98666666666668,False,239.12,False,True,42.0,119.56,121.08,1.0127132820341251,0,0,0.008050853128136502,1.0046624289059887,1.0046624289059887,1.0130522088353413,1.1209203495211966,0.9729208517476894,True,1.0,1000.0,1,2019-02-13
