,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,ASR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
624,2020-04-27,197.83,199.33,187.3,196.84,Sell,46.9719334909257,194.49,201.68,189.65,206.52000000000004,182.46,213.71,177.62,220.9,172.78,204.27666666666664,False,0.0,False,False,620.0,183.16,196.84,1.0,0,0,0.0,1.0,1.0,0.9949957033816913,1.006820352832389,5.089738459254126,0.9157052474879052,False,0.9884782,98.0,0,2020-04-28
625,2020-04-28,196.72,198.1,192.42,196.71,Sell,45.75518439173964,195.74333333333334,199.0666666666667,193.38666666666668,201.42333333333337,190.06333333333333,204.7466666666667,187.70666666666668,208.07000000000005,185.35000000000002,206.52000000000004,False,0.0,False,False,620.0,183.16,196.71,1.0,0,0,0.0,1.0,1.0,0.9993395651290389,1.0078721126029802,5.089738459254126,0.9151004838109421,False,0.9933703,99.0,0,2020-04-29
626,2020-04-29,196.71,219.09,196.71,215.45,Sell,49.67108330539717,210.41666666666666,224.1233333333333,201.7433333333333,232.79666666666665,188.03666666666666,246.5033333333333,179.36333333333332,260.2099999999999,170.68999999999997,201.42333333333337,False,0.0,False,False,620.0,183.16,215.45,1.0,0,0,0.0,1.0,1.0,1.0952671445274769,0.9980472644590378,5.089738459254126,1.0022794938593231,False,0.9951622,99.0,1,2020-04-30
627,2020-04-30,215.45,227.53,202.5,206.2,Buy,53.914810981390495,212.07666666666668,221.65333333333336,196.62333333333336,237.10666666666668,187.04666666666668,246.68333333333337,171.59333333333336,256.26000000000005,156.14000000000004,153.99519999999976,False,430.9,False,True,627.0,215.45,206.2,0.9570666047806916,0,0,0.007828266419122766,0.9492383383615688,0.9492383383615688,0.9570666047806916,1.002020260276598,4.831374877757358,0.9592482322292525,True,1.0025588,100.0,0,2020-05-01
628,2020-05-01,206.2,217.42,206.14,211.88,Sell,57.45125071138494,211.8133333333333,217.48666666666662,206.20666666666662,223.0933333333333,200.5333333333333,228.76666666666662,194.92666666666662,234.43999999999994,189.31999999999994,237.10666666666668,False,0.0,False,True,628.0,206.2,211.88,1.0,0,0,0.0,1.0,1.0,1.0275460717749758,1.002362215793896,4.831374877757358,0.9856717528842581,False,0.9997158,99.0,1,2020-05-02
629,2020-05-02,211.98,215.71,210.54,214.11,Buy,60.39828381971363,213.45333333333335,216.3666666666667,211.1966666666667,218.62333333333336,208.28333333333333,221.53666666666672,206.02666666666667,224.45000000000007,203.77,156.28499999999977,False,423.96,False,True,629.0,211.98,214.11,1.0100481177469574,0,0,0.00804019247098783,1.0020079252759695,1.0020079252759695,1.0105248253728527,1.0020678427871206,4.84107591749209,0.9960457759583186,True,1.0002624,100.0,1,2020-05-03
630,2020-05-03,214.11,219.32,203.8,209.9,Buy,56.75761987737036,211.00666666666666,218.2133333333333,202.69333333333333,226.52666666666664,195.48666666666668,233.7333333333333,187.17333333333335,240.93999999999994,178.86,157.85819999999975,False,428.22,False,False,629.0,211.98,209.9,0.9901877535616568,0,0,0.007960751014246627,0.9822270025474101,0.9802587162939741,0.9803372098454065,0.9951246263637541,4.745506864362469,0.9764607368812809,True,1.0007459,100.0,0,2020-05-04
631,2020-05-04,209.9,210.8,195.15,206.99,Buy,48.10355907357663,204.31333333333336,213.47666666666672,197.8266666666667,219.96333333333334,188.66333333333336,229.12666666666672,182.1766666666667,238.29000000000008,175.69000000000005,159.61059999999975,False,419.8,False,False,629.0,211.98,206.99,0.9764600434003209,0,0,0.007905840173601283,0.9685542032267196,0.9860797969458892,0.9861362553596951,0.9931504979931516,4.679448445215868,0.9629233345738748,True,1.0026248,100.0,0,2020-05-05
632,2020-05-05,206.99,212.19,200.82,205.62,Buy,41.60285353907954,206.21,211.60000000000002,200.23000000000002,217.57999999999998,194.84,222.97000000000003,188.86,228.36000000000004,182.88000000000002,161.28559999999976,False,413.98,False,False,629.0,211.98,205.62,0.9699971695442967,0,0,0.007879988678177187,0.9621171808661195,0.9933539885128212,0.9933813227692159,0.9917584776877405,4.648348777095302,0.9565500558243399,True,1.0028366,100.0,0,2020-05-06
633,2020-05-06,205.62,211.31,197.0,199.48,Sell,35.49437010740187,202.59666666666666,208.19333333333333,193.88333333333333,216.90666666666664,188.28666666666666,222.50333333333333,179.57333333333332,228.1,170.85999999999999,217.57999999999998,False,0.0,False,True,633.0,205.62,199.48,1.0,0,0,0.0,1.0,1.0,0.9701390915280614,0.9910938765390226,4.648348777095302,0.9279866021585416,False,0.9965731,99.0,0,2020-05-07
634,2020-05-07,199.3,215.18,196.99,212.34,Sell,31.121351047599887,208.17,219.34999999999997,201.15999999999997,226.36,189.98,237.53999999999996,182.96999999999997,248.71999999999994,175.95999999999995,216.90666666666664,False,0.0,False,False,633.0,205.62,212.34,1.0,0,0,0.0,1.0,1.0,1.0644676158010828,0.9910938765390226,4.648348777095302,0.9878116858950508,False,0.9963598,99.0,1,2020-05-08
635,2020-05-08,212.34,217.08,207.21,211.62,Sell,28.594319335318872,211.97000000000003,216.73000000000005,206.86000000000004,221.84000000000006,202.10000000000002,226.60000000000005,196.99000000000004,231.36000000000007,191.88000000000005,226.36,False,0.0,False,False,633.0,205.62,211.62,1.0,0,0,0.0,1.0,1.0,0.9966092116417067,0.9910938765390226,4.648348777095302,0.9844622255303317,False,0.979309,97.0,0,2020-05-09
