,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,ASR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
396,2019-08-12,216.28,216.45,209.7,211.2,Sell,28.729177283469202,212.44999999999996,215.19999999999993,208.44999999999993,219.2,205.69999999999996,221.94999999999993,201.69999999999993,224.6999999999999,197.6999999999999,223.80666666666667,False,0.0,False,False,395.0,206.05,211.2,1.0,0,0,0.0,1.0,1.0,0.9765119289809505,0.997187161198289,1.9900255086269685,0.5589519650655027,False,0.9981587,99.0,0,2019-08-13
397,2019-08-13,211.19,211.94,203.0,208.6,Buy,31.59670318303984,207.84666666666666,212.69333333333333,203.75333333333333,216.78666666666663,198.90666666666667,221.63333333333333,194.81333333333333,226.48,190.72,249.8583999999997,False,422.38,False,True,397.0,211.19,208.6,0.9877361617500828,0,0,0.007950944647000332,0.9797852171030825,0.9797852171030825,0.9876893939393939,0.997187161198289,1.9497975750107466,0.5520709276167797,True,1.0022166,100.0,0,2019-08-14
398,2019-08-14,208.6,209.0,182.0,186.2,Buy,38.47694908776048,192.4,202.8,175.8,219.39999999999998,165.4,229.8,148.8,240.20000000000002,132.20000000000002,247.8215999999997,False,417.2,False,False,397.0,211.19,186.2,0.8816705336426913,0,0,0.007526682134570766,0.8741438515081206,0.8921790574598478,0.8926174496644295,0.9951656829085971,1.7395685627105848,0.49278814344316574,True,1.002248,100.0,0,2019-08-15
399,2019-08-15,186.2,189.69,173.76,188.06,Buy,45.06959910064081,183.83666666666667,193.91333333333336,177.98333333333335,199.76666666666665,167.90666666666667,209.84333333333336,162.05333333333334,219.92000000000004,156.20000000000002,245.20799999999974,False,372.4,False,False,397.0,211.19,188.06,0.8904777688337516,0,0,0.007561911075335007,0.8829158577584166,1.0100349687699137,1.0099892588614394,0.9843835886545819,1.7570250789105093,0.49771073177186764,True,1.0203377,102.0,1,2019-08-16
400,2019-08-16,188.06,188.21,177.96,185.5,Buy,50.56347411137441,183.89000000000001,189.82000000000002,179.57000000000002,194.14000000000001,173.64000000000001,200.07000000000002,169.32000000000002,206.00000000000003,165.00000000000003,242.2789999999997,False,376.12,False,False,397.0,211.19,185.5,0.8783559827643355,0,0,0.007513423931057342,0.8708425588332781,0.9863256517378782,0.9863873231947251,0.9853870855315732,1.732998906076205,0.49093555643774034,True,1.0052257,100.0,0,2019-08-17
401,2019-08-17,185.5,186.88,182.11,185.63,Buy,55.14170328698575,184.87333333333333,187.63666666666666,182.86666666666667,189.64333333333332,180.10333333333335,192.40666666666664,178.0966666666667,195.16999999999996,176.09000000000003,240.1153999999997,False,371.0,False,False,397.0,211.19,185.63,0.878971542213173,0,0,0.007515886168852692,0.8714556560443203,1.0007040276165,1.0007008086253368,0.984019650705361,1.734218985165447,0.4912796083101764,True,1.0086004,100.0,1,2019-08-18
402,2019-08-18,185.63,198.0,183.37,194.57,Buy,49.84466507732364,191.98000000000002,200.59000000000003,185.96000000000004,206.61,177.35000000000002,215.22000000000003,171.33000000000004,223.83000000000004,165.31000000000006,237.63219999999967,False,371.26,False,False,397.0,211.19,194.57,0.9213030920024622,0,0,0.007685212368009849,0.9136178796344523,1.0483813758023135,1.0481603189139685,0.9840900534670111,1.8181228856102432,0.5149397909223241,True,1.0079707,100.0,1,2019-08-19
403,2019-08-19,194.57,203.79,193.15,202.27,Buy,42.12053266353946,199.73666666666668,206.32333333333335,195.68333333333337,210.37666666666664,189.0966666666667,216.96333333333334,185.04333333333338,223.55,180.99000000000007,235.18359999999967,False,389.14,False,False,397.0,211.19,202.27,0.9577631516643781,0,0,0.007831052606657512,0.9499320990577206,1.0397477109771516,1.03957444621473,0.9889281910472423,1.890389108588424,0.535318247982004,True,1.0048032,100.0,1,2019-08-20
404,2019-08-20,202.27,202.77,194.48,196.44,Buy,35.68375565205264,197.89666666666668,201.31333333333336,193.02333333333334,206.1866666666667,189.60666666666665,209.60333333333338,184.73333333333332,213.02000000000007,179.85999999999999,233.43899999999968,False,404.54,False,False,397.0,211.19,196.44,0.9301576779203561,0,0,0.007720630711681425,0.9224370472086747,0.9710557713795339,0.971177139467049,0.9929029621449574,1.8356732540478016,0.519888844779675,True,1.0014096,100.0,0,2019-08-21
405,2019-08-21,196.44,197.07,179.94,187.27,Buy,36.23772298518738,188.09333333333333,196.24666666666667,179.11666666666667,205.2233333333333,170.96333333333334,213.37666666666667,161.98666666666668,221.53,153.01000000000002,231.4975999999997,False,392.88,False,False,397.0,211.19,187.27,0.8867370614138927,0,0,0.007546948245655572,0.8791901131682371,0.9531166553085609,0.953319079617186,0.9928213780846227,1.749610752137423,0.49561995500860184,True,1.0044104,100.0,0,2019-08-22
